Wavelength (nm)	Dark	Wavelength (nm)	Reference	Wavelength (nm)	Sample 1 - 08.11.2019-11:35:13	Wavelength (nm)	Sample 2 - 08.11.2019-11:40:21	Wavelength (nm)	Sample 3 - 08.11.2019-11:45:29
-1248.900	10065.000	-1248.900	0.000	-1248.900	NaN	-1248.900	NaN	-1248.900	NaN
-1246.900	9655.000	-1246.900	0.000	-1246.900	-Inf	-1246.900	NaN	-1246.900	NaN
-1244.800	9735.000	-1244.800	0.000	-1244.800	NaN	-1244.800	NaN	-1244.800	NaN
-1242.800	9731.000	-1242.800	4.000	-1242.800	NaN	-1242.800	NaN	-1242.800	NaN
-1240.800	9766.000	-1240.800	0.000	-1240.800	-Inf	-1240.800	-Inf	-1240.800	NaN
-1238.800	9791.000	-1238.800	0.000	-1238.800	-Inf	-1238.800	-Inf	-1238.800	NaN
-1236.800	9731.000	-1236.800	0.000	-1236.800	NaN	-1236.800	NaN	-1236.800	NaN
-1234.800	9686.000	-1234.800	0.000	-1234.800	-Inf	-1234.800	NaN	-1234.800	NaN
-1232.800	9751.000	-1232.800	0.000	-1232.800	NaN	-1232.800	NaN	-1232.800	-Inf
-1230.800	9752.000	-1230.800	0.000	-1230.800	NaN	-1230.800	NaN	-1230.800	NaN
-1228.800	9699.000	-1228.800	0.000	-1228.800	NaN	-1228.800	NaN	-1228.800	NaN
-1226.700	9784.000	-1226.700	0.000	-1226.700	-Inf	-1226.700	NaN	-1226.700	NaN
-1224.700	9804.000	-1224.700	0.000	-1224.700	NaN	-1224.700	NaN	-1224.700	NaN
-1222.700	9766.000	-1222.700	0.000	-1222.700	-Inf	-1222.700	NaN	-1222.700	NaN
-1220.700	9798.000	-1220.700	0.000	-1220.700	-Inf	-1220.700	NaN	-1220.700	NaN
-1218.700	9773.000	-1218.700	0.000	-1218.700	-Inf	-1218.700	NaN	-1218.700	NaN
-1216.700	9826.000	-1216.700	0.000	-1216.700	NaN	-1216.700	NaN	-1216.700	-Inf
-1214.700	9765.000	-1214.700	0.000	-1214.700	-Inf	-1214.700	-Inf	-1214.700	NaN
-1212.700	9784.000	-1212.700	0.000	-1212.700	-Inf	-1212.700	NaN	-1212.700	NaN
-1210.600	9754.000	-1210.600	0.000	-1210.600	-Inf	-1210.600	NaN	-1210.600	NaN
-1208.600	9754.000	-1208.600	0.000	-1208.600	NaN	-1208.600	NaN	-1208.600	NaN
-1206.600	9738.000	-1206.600	0.000	-1206.600	NaN	-1206.600	NaN	-1206.600	NaN
-1204.600	9858.000	-1204.600	0.000	-1204.600	NaN	-1204.600	NaN	-1204.600	NaN
-1202.600	9869.000	-1202.600	0.000	-1202.600	-Inf	-1202.600	NaN	-1202.600	NaN
-1200.600	9753.000	-1200.600	0.000	-1200.600	NaN	-1200.600	NaN	-1200.600	NaN
-1198.600	9780.000	-1198.600	0.000	-1198.600	NaN	-1198.600	NaN	-1198.600	NaN
-1196.600	9838.000	-1196.600	0.000	-1196.600	NaN	-1196.600	NaN	-1196.600	NaN
-1194.600	9778.000	-1194.600	0.000	-1194.600	-Inf	-1194.600	NaN	-1194.600	-Inf
